module_path,module_name,lineno
F:\DLFs_dataset\mindspore\mindspore-1.10.1\mindspore\ccsrc\debug\debugger\offline_debug\mi_pybind_register.cc,_mindspore_offline_debug,22
F:\DLFs_dataset\mindspore\mindspore-1.10.1\mindspore\ccsrc\minddata\dataset\api\python\pybind_register.cc,_c_dataengine,28
F:\DLFs_dataset\mindspore\mindspore-1.10.1\mindspore\ccsrc\minddata\mindrecord\common\shard_pybind.cc,_c_mindrecord,268
F:\DLFs_dataset\mindspore\mindspore-1.10.1\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,128
F:\DLFs_dataset\mindspore\mindspore-1.10.1\mindspore\ccsrc\plugin\device\ascend\hal\device\distribute\mpi_pycc.cc,_ascend_mpi,46
F:\DLFs_dataset\mindspore\mindspore-1.10.1\mindspore\ccsrc\plugin\device\gpu\hal\device\mpi\mpi_initializer.cc,_ms_mpi,37
F:\DLFs_dataset\mindspore\mindspore-1.10.1\mindspore\lite\python\src\pybind_module.cc,_c_lite_wrapper,29
