path,fun_name,lineno
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Device.cpp,THPDevice_reduce,141
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Dtype.cpp,THPDtype_reduce,54
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_addDocStr,220
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_hasDistributed,322
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_setDefaultTensorType,204
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_setDefaultDtype,212
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_inferSize,279
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_userEnabledCuDNN,419
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_setUserEnabledCuDNN,411
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_userEnabledMkldnn,433
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_setUserEnabledMkldnn,425
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_allowTF32CuDNN,405
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_setAllowTF32CuDNN,397
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_benchmarkCuDNN,481
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_setBenchmarkCuDNN,467
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_deterministicCuDNN,447
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_setDeterministicCuDNN,439
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_deterministic,461
F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp,THPModule_setDeterministic,453
