call_path,py_component,c_component,c_path
F:\python_workplace\tensorflow-master\tensorflow\python\platform\benchmark.py,add,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\math_ops.cc
F:\python_workplace\tensorflow-master\tensorflow\tools\graph_transforms\__init__.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\util\tf_export.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\util\tf_export.py,get,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\op_def_registry.cc
F:\python_workplace\tensorflow-master\tensorflow\lite\tools\signature\signature_def_utils.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\lite\tools\optimize\python\modify_model_interface_lib.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\lite\testing\zip_test_utils.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\lite\testing\zip_test_utils.py,mul,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\math_ops.cc
F:\python_workplace\tensorflow-master\tensorflow\lite\testing\zip_test_utils.py,get,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\op_def_registry.cc
F:\python_workplace\tensorflow-master\tensorflow\lite\testing\zip_test_utils.py,add,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\math_ops.cc
F:\python_workplace\tensorflow-master\tensorflow\python\util\module_wrapper.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\feature_column\sequence_feature_column_integration_test.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\client\pywrap_tf_session.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\compiler\xla\experimental\xla_sharding.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\compiler\xla\experimental\xla_sharding.py,Sharding,Sharding,F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\sharding.cc
F:\python_workplace\tensorflow-master\tensorflow\python\training\py_checkpoint_reader.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\compat\disable_v2_behavior_test.py,all calls is excessive,,
