call_path,py_component,c_component,c_path
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_memory_usage.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\mlu\test_truncated_gaussian_random_op_mlu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\ir\inference\test_trt_activation_pass.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\ir\inference\test_trt_activation_pass.py,AnalysisConfig,AnalysisConfig,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\inference_api.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_rmsprop_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_rmsprop_op.py,Scope,lambda expression,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_rmsprop_op.py,clear_gradients,lambda expression,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_rmsprop_op.py,scale,eager_api_scale,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_rmsprop_op.py,get_tensor,tensor_method_get_underline_tensor,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\collective\collective_reduce_op_calc_stream.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\distributed\auto_parallel\reshard.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\distributed\auto_parallel\reshard.py,TensorDistAttr,TensorDistAttr,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\auto_parallel_py.cc
F:\python_workplace\Paddle-develop\python\paddle\distributed\auto_parallel\reshard.py,values,tensor_method_get_non_zero_elements,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_executor_feed_non_tensor.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_executor_feed_non_tensor.py,VarDesc,VarDesc,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\protobuf.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_process_mesh_v2.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_process_mesh_v2.py,ProcessMesh,ProcessMesh,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\auto_parallel_py.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\graphviz.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\mlu\test_where_index_op_mlu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\r\example\mobilenet.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\ir\inference\test_trt_dynamic_shape.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\quantization\base_quanter.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_hinge_embedding_loss.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_hinge_embedding_loss.py,Executor,Executor,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\op_test_xpu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\collective\fleet\test_dgc_momentum_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\collective\fleet\test_dgc_momentum_op.py,get_tensor,tensor_method_get_underline_tensor,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\prim\test_comp_skip_op_set.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\gradient_checker.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\gradient_checker.py,clone,tensor_method_clone,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_cost_model.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_eager_deletion_padding_rnn.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\xpu\test_device_guard_xpu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\inference\wrapper.py,all calls is excessive,,
