c_path,module_name,py_fun_name,c_fun_name,lineno,lambda_len
F:\python_workplace\tensorflow-master\tensorflow\core\function\runtime_client\runtime_client_pybind.cc,runtime_client_pybind,GlobalEagerContext,GlobalEagerContext,32,
F:\python_workplace\tensorflow-master\tensorflow\core\function\runtime_client\runtime_client_pybind.cc,runtime_client_pybind,GlobalPythonEagerContext,GlobalPythonEagerContext,35,
F:\python_workplace\tensorflow-master\tensorflow\core\function\testing\test_pass_pybind.cc,test_pass_pybind,RegisterTestPass,RegisterTestPass,22,
F:\python_workplace\tensorflow-master\tensorflow\lite\kernels\variable_ops_wrapper.cc,pywrap_variable_ops,VariableOpsRegisterer,lambda expression,23,15.0
F:\python_workplace\tensorflow-master\tensorflow\lite\kernels\gradient\gradient_ops_wrapper.cc,pywrap_gradient_ops,GradientOpsRegisterer,lambda expression,24,93.0
F:\python_workplace\tensorflow-master\tensorflow\lite\kernels\perception\perception_ops_wrapper.cc,pywrap_perception_ops,PerceptionOpsRegisterer,lambda expression,24,95.0
F:\python_workplace\tensorflow-master\tensorflow\lite\python\analyzer_wrapper\analyzer_wrapper.cc,_pywrap_analyzer_wrapper,ModelAnalyzer,lambda expression,22,142.0
F:\python_workplace\tensorflow-master\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,_pywrap_tensorflow_interpreter_wrapper,CreateWrapperFromFile,lambda expression,38,339.0
F:\python_workplace\tensorflow-master\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,_pywrap_tensorflow_interpreter_wrapper,CreateWrapperFromFile,lambda expression,51,447.0
F:\python_workplace\tensorflow-master\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,_pywrap_tensorflow_interpreter_wrapper,CreateWrapperFromBuffer,lambda expression,67,325.0
F:\python_workplace\tensorflow-master\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,_pywrap_tensorflow_interpreter_wrapper,CreateWrapperFromBuffer,lambda expression,80,433.0
F:\python_workplace\tensorflow-master\tensorflow\lite\python\optimize\calibration_wrapper_pybind11.cc,_pywrap_tensorflow_lite_calibration_wrapper,AddIntermediateTensors,lambda expression,35,80.0
F:\python_workplace\tensorflow-master\tensorflow\lite\python\testdata\test_registerer_wrapper.cc,_pywrap_test_registerer,get_num_test_registerer_calls,get_num_test_registerer_calls,21,
F:\python_workplace\tensorflow-master\tensorflow\lite\python\testdata\test_registerer_wrapper.cc,_pywrap_test_registerer,TF_TestRegisterer,lambda expression,25,83.0
F:\python_workplace\tensorflow-master\tensorflow\lite\testing\string_util_wrapper.cc,_pywrap_string_util,SerializeAsHexString,lambda expression,31,105.0
F:\python_workplace\tensorflow-master\tensorflow\lite\tools\optimize\python\modify_model_interface.cc,_pywrap_modify_model_interface,modify_model_interface,lambda expression,30,228.0
F:\python_workplace\tensorflow-master\tensorflow\lite\tools\signature\signature_def_util_wrapper_pybind11.cc,_pywrap_signature_def_util_wrapper,SetSignatureDefMap,WrappedSetSignatureDefMap,92,
F:\python_workplace\tensorflow-master\tensorflow\lite\tools\signature\signature_def_util_wrapper_pybind11.cc,_pywrap_signature_def_util_wrapper,GetSignatureDefMap,WrappedGetSignatureDefMap,94,
F:\python_workplace\tensorflow-master\tensorflow\lite\tools\signature\signature_def_util_wrapper_pybind11.cc,_pywrap_signature_def_util_wrapper,ClearSignatureDefs,WrappedClearSignatureDefs,96,
F:\python_workplace\tensorflow-master\tensorflow\python\mlir_wrapper.cc,_pywrap_mlir,ImportGraphDef,lambda expression,25,138.0
F:\python_workplace\tensorflow-master\tensorflow\python\mlir_wrapper.cc,_pywrap_mlir,ImportFunction,lambda expression,36,164.0
F:\python_workplace\tensorflow-master\tensorflow\python\mlir_wrapper.cc,_pywrap_mlir,ImportGraphDef,lambda expression,50,262.0
F:\python_workplace\tensorflow-master\tensorflow\python\mlir_wrapper.cc,_pywrap_mlir,ExperimentalConvertSavedModelToMlir,lambda expression,65,147.0
F:\python_workplace\tensorflow-master\tensorflow\python\mlir_wrapper.cc,_pywrap_mlir,ExperimentalConvertSavedModelV1ToMlirLite,lambda expression,76,190.0
F:\python_workplace\tensorflow-master\tensorflow\python\mlir_wrapper.cc,_pywrap_mlir,ExperimentalConvertSavedModelV1ToMlir,lambda expression,90,208.0
F:\python_workplace\tensorflow-master\tensorflow\python\mlir_wrapper.cc,_pywrap_mlir,ExperimentalRunPassPipeline,lambda expression,104,138.0
F:\python_workplace\tensorflow-master\tensorflow\python\mlir_wrapper.cc,_pywrap_mlir,ExperimentalWriteBytecode,lambda expression,115,120.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,Allocate,lambda expression,90,158.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,AddMesh,lambda expression,115,184.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,ExperimentalSetDefaultLayout,lambda expression,129,130.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,ExperimentalClearDefaultLayout,lambda expression,144,100.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,ExperimentalSetDefaultMesh,lambda expression,155,132.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,ExperimentalClearDefaultMesh,lambda expression,168,100.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,SetSameShapePolicy,lambda expression,179,128.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,SetTPUCoreIDs,lambda expression,184,159.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,ClearTPUCoreIDs,lambda expression,198,107.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,TPUCoreIDsToLocations,lambda expression,202,254.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,TPUCoreLocationsToIDs,lambda expression,210,248.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,Pack,lambda expression,220,200.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,Unpack,lambda expression,275,153.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,FetchLayout,lambda expression,301,159.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,IsDTensor,lambda expression,321,207.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,IsSparseDTensor,lambda expression,339,207.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,GetFunctionCacheHitAndMissCount,lambda expression,359,123.0
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,_pywrap_dtensor_device,SetIteratorElementLayouts,lambda expression,367,308.0
F:\python_workplace\tensorflow-master\tensorflow\python\py_exception_registry_wrapper.cc,_pywrap_py_exception_registry,PyExceptionRegistry_Init,lambda expression,27,98.0
F:\python_workplace\tensorflow-master\tensorflow\python\py_exception_registry_wrapper.cc,_pywrap_py_exception_registry,PyExceptionRegistry_Lookup,lambda expression,30,61.0
F:\python_workplace\tensorflow-master\tensorflow\python\sanitizers_wrapper.cc,_pywrap_sanitizers,is_asan_enabled,lambda expression,20,69.0
F:\python_workplace\tensorflow-master\tensorflow\python\sanitizers_wrapper.cc,_pywrap_sanitizers,is_msan_enabled,lambda expression,28,68.0
F:\python_workplace\tensorflow-master\tensorflow\python\sanitizers_wrapper.cc,_pywrap_sanitizers,is_tsan_enabled,lambda expression,36,68.0
F:\python_workplace\tensorflow-master\tensorflow\python\sanitizers_wrapper.cc,_pywrap_sanitizers,is_ubsan_enabled,lambda expression,44,80.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfcompile_wrapper.cc,_pywrap_tfcompile,Compile,lambda expression,35,1025.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_Py_RegisterExceptionClass,lambda expression,679,86.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_Py_RegisterFallbackExceptionClass,lambda expression,682,86.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_GetMemoryInfo,lambda expression,687,471.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ResetMemoryStats,lambda expression,706,327.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TF_SetXlaEnableLazyCompilation,TF_SetXlaEnableLazyCompilation,722,
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TF_SetTfXlaCpuGlobalJit,TF_SetTfXlaCpuGlobalJit,723,
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TF_SetXlaAutoJitMode,TF_SetXlaAutoJitMode,724,
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TF_SetXlaConstantFoldingDisabled,TF_SetXlaConstantFoldingDisabled,725,
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TF_GetXlaConstantFoldingDisabled,TF_GetXlaConstantFoldingDisabled,726,
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TF_SetXlaMinClusterSize,TF_SetXlaMinClusterSize,727,
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TF_GetCompilerIr,TFE_GetCompilerIr,728,
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TF_IsMlirBridgeEnabled,lambda expression,731,78.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TF_EnableMlirBridge,lambda expression,737,213.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TF_EnableXlaDevices,lambda expression,744,63.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TF_ResetJitCompilerFlags,lambda expression,747,38.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_NewContext,lambda expression,751,94.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_DeleteContext,lambda expression,761,64.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextListDevices,lambda expression,764,78.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_SetLogicalCpuDevices,lambda expression,775,107.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_HostAddressSpace,lambda expression,785,84.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextAddFunction,lambda expression,788,100.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextAddFunctionDef,lambda expression,795,121.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextGetFunctionDef,lambda expression,804,114.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextRemoveFunction,lambda expression,812,98.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextHasFunction,lambda expression,819,98.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextListFunctionNames,lambda expression,827,95.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextEnableRunMetadata,lambda expression,831,79.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextDisableRunMetadata,lambda expression,834,79.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextEnableGraphCollection,lambda expression,837,83.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextDisableGraphCollection,lambda expression,840,84.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextExportRunMetadata,lambda expression,843,97.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextClearCaches,lambda expression,850,69.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_GetContextId,lambda expression,853,72.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextGetDevicePlacementPolicy,lambda expression,856,83.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextSetThreadLocalDevicePlacementPolicy,lambda expression,860,121.0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,_pywrap_tfe,TFE_ContextSetServerDef,lambda expression,865,116.0
