module_name,module_asname,c_file_path,c_lineno,python_file_path,py_lineno
_pywrap_tac_wrapper,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\lite\experimental\tac\py_wrapper\tac_wrapper_pybind11.cc,24,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\lite\experimental\tac\tac.py,17
pywrap_quantize_model,quantize_model_wrapper,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\quantization\tensorflow\python\pywrap_quantize_model.cc,122,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\quantization\tensorflow\calibrator\integration_test\custom_aggregator_op_test.py,23
pywrap_quantize_model,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\quantization\tensorflow\python\pywrap_quantize_model.cc,122,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\quantization\tensorflow\python\pywrap_quantize_model_test.py,20
pywrap_quantize_model,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\quantization\tensorflow\python\pywrap_quantize_model.cc,122,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\quantization\tensorflow\python\quantize_model.py,28
mlir_wrapper,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\python\mlir_wrapper\mlir_wrapper.cc,31,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\tfr\python\op_reg_gen_test.py,23
filecheck_wrapper,fw,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\python\mlir_wrapper\filecheck_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\tfr\python\op_reg_gen_test.py,23
tfr_wrapper,tfr,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\tfr\python\tfr_wrapper.cc,35,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\tfr\python\tfr_gen.py,27
mlir_wrapper,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\python\mlir_wrapper\mlir_wrapper.cc,31,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\tfr\python\tfr_gen_test.py,21
filecheck_wrapper,fw,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\python\mlir_wrapper\filecheck_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\tfr\python\tfr_gen_test.py,21
_tfrt_fallback,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\tfrt\jit\python_binding\tfrt_fallback.cc,132,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\tfrt\jit\python_binding\tfrt_fallback.py,20
_tf_jitrt_executor,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\tfrt\jit\python_binding\tf_jitrt_executor.cc,282,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\tfrt\jit\python_binding\tf_jitrt.py,20
filecheck_wrapper,fw,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\python\mlir_wrapper\filecheck_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\tf2xla\light_outside_compilation_test.py,16
mlir_wrapper,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\mlir\python\mlir_wrapper\mlir_wrapper.cc,31,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\tf2xla\light_outside_compilation_test.py,16
_mlirHlo,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\xla\mlir_hlo\bindings\python\MlirHloModule.cc,43,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\xla\mlir_hlo\bindings\python\mlir\dialects\mhlo.py,20
xla_extension,_xla,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\xla\python\xla.cc,106,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\xla\python\xla_client.py,26
tpu_client_extension,_tpu_client,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,33,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client.py,22
flags_pybind,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\core\config\flags_api_wrapper.cc,35,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\core\config\flags.py,19
runtime_client_pybind,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\core\function\runtime_client\runtime_client_pybind.cc,28,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\core\function\runtime_client\runtime_client.py,21
test_pass_pybind,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\core\function\testing\test_pass_pybind.cc,21,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\core\function\testing\test_pass.py,19
_pywrap_dtensor_device,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\python\pywrap_dtensor_device.cc,88,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\dtensor\python\dtensor_device.py,28
_pywrap_dtensor_device,,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\python\pywrap_dtensor_device.cc,88,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\dtensor\python\layout.py,25
_pywrap_analyzer_wrapper,_analyzer_wrapper,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\lite\python\analyzer_wrapper\analyzer_wrapper.cc,21,F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\lite\python\analyzer.py,24
