py_fun_name,c_fun_name,lineno,methods_table,path
_parse_to,THPVariable__parse_to,75,nn_functions,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_nn_functions.cpp
__add__,THPVariable_add,1159,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__radd__,THPVariable_add,1160,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__iadd__,THPVariable_add_,1161,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__rmul__,THPVariable_mul,1162,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__mul__,THPVariable_mul,1163,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__imul__,THPVariable_mul_,1164,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__sub__,THPVariable_sub,1165,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__isub__,THPVariable_sub_,1166,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__div__,THPVariable_div,1167,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__truediv__,THPVariable_div,1168,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__floordiv__,THPVariable_floor_divide,1169,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__idiv__,THPVariable_div_,1170,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__ifloordiv__,THPVariable_floor_divide_,1171,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__mod__,THPVariable_remainder,1172,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__imod__,THPVariable_remainder_,1173,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__eq__,THPVariable_eq,1174,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__ne__,THPVariable_ne,1175,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__lt__,THPVariable_lt,1176,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__le__,THPVariable_le,1177,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__gt__,THPVariable_gt,1178,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__ge__,THPVariable_ge,1179,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__rand__,THPVariable_bitwise_and,1180,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__ror__,THPVariable_bitwise_or,1181,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__rxor__,THPVariable_bitwise_xor,1182,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__bool__,THPVariable_bool_scalar,1183,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__float__,THPVariable_float_scalar,1184,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__complex__,THPVariable_complex_scalar,1185,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__int__,THPVariable_integral_scalar,1186,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__long__,THPVariable_integral_scalar,1187,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__index__,THPVariable_index_scalar,1188,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__nonzero__,THPVariable_bool_scalar,1189,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__invert__,THPVariable_invert,1190,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
__matmul__,THPVariable_matmul,1191,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
_is_view,THPVariable__is_view,1192,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
apply_,THPVariable_apply_,1193,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
bfloat16,THPVariable_bfloat16,1194,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
byte,THPVariable_byte,1195,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
char,THPVariable_char,1196,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
contiguous,THPVariable_contiguous,1197,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
copy_,THPVariable_copy_,1198,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
cpu,THPVariable_cpu,1199,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
cuda,THPVariable_cuda,1200,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
xpu,THPVariable_xpu,1201,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
data_ptr,THPVariable_data_ptr,1202,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
dim,THPVariable_dim,1203,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
has_names,THPVariable_has_names,1204,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
double,THPVariable_double,1205,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
cdouble,THPVariable_cdouble,1206,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
element_size,THPVariable_element_size,1207,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
float,THPVariable_float,1208,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
cfloat,THPVariable_cfloat,1209,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
get_device,THPVariable_get_device,1210,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
bool,THPVariable_bool,1211,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
half,THPVariable_half,1212,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
int,THPVariable_int,1213,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
is_contiguous,THPVariable_is_contiguous,1214,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
item,THPVariable_item,1215,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
long,THPVariable_long,1216,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
map_,THPVariable_map_,1217,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
map2_,THPVariable_map2_,1218,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
ndimension,THPVariable_dim,1219,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
nelement,THPVariable_numel,1220,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
new,THPVariable_new,1221,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
new_tensor,THPVariable_new_tensor,1222,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.10.0\tools\autograd\templates\python_variable_methods.cpp
