c_path,lineno,module_name,c_class_name,py_class_name
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\backend.cc,17,_core,Backend,Backend
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\context.cc,54,_core,Context,Context
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\context.cc,95,_core,PyContextScope,ContextScope
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\device.cc,59,_core,Device,Device
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\device.cc,83,_core,PyDeviceScope,DeviceScope
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\graph.cc,52,_core,AnyGraph,AnyGraph
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\graph.cc,57,_core,BackpropId,BackpropId
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\graph.cc,68,_core,PyBackpropScope,BackpropScope
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\scalar.cc,51,_core,Scalar,_Scalar
