path,c_class_name,py_class_name,lineno
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,CpuDevice,CpuDevice,506
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,GpuDevice,GpuDevice,511
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,Frame,Frame,599
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,ExecutableBuildOptions,ExecutableBuildOptions,725
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,ChannelHandle,ChannelHandle,916
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,ProfilerServer,ProfilerServer,174
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,LiteralSlice,LiteralSlice,382
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,HloPrintOptions,HloPrintOptions,772
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,HloModule,HloModule,827
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,XlaOp,XlaOp,850
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,DistributedRuntimeService,DistributedRuntimeService,933
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,DistributedRuntimeClient,DistributedRuntimeClient,936
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,PyTpuBuffer,PyTpuBuffer,147
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,PyTpuExecutable,TpuExecutable,186
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,TpuDevice,TpuDevice,207
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,InterpreterWrapper,InterpreterWrapper,83
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_Executor,TFE_Executor,452
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_ContextOptions,TFE_ContextOptions,453
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringCounter0,TFE_MonitoringCounter0,455
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringCounter1,TFE_MonitoringCounter1,457
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringCounter2,TFE_MonitoringCounter2,459
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringStringGauge0,TFE_MonitoringStringGauge0,461
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringStringGauge1,TFE_MonitoringStringGauge1,463
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringStringGauge2,TFE_MonitoringStringGauge2,465
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringIntGauge0,TFE_MonitoringIntGauge0,467
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringIntGauge1,TFE_MonitoringIntGauge1,469
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringIntGauge2,TFE_MonitoringIntGauge2,471
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringBoolGauge0,TFE_MonitoringBoolGauge0,473
