call_path,number_of_communication_files
F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\compiler\tests\xla_test.py,5
F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\python\framework\dtypes.py,5
F:\DLFs_dataset\tensorflow\tensorflow-2.12.0\tensorflow\python\checkpoint\checkpoint.py,5
