module_name,module_asname,c_file_path,c_lineno,python_file_path,py_lineno
filecheck_wrapper,fw,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\mlir\python\mlir_wrapper\filecheck_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\mlir\tfr\python\op_reg_gen_test.py,27
mlir_wrapper,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\mlir\python\mlir_wrapper\mlir_wrapper.cc,31,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\mlir\tfr\python\op_reg_gen_test.py,27
tfr_wrapper,tfr,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\mlir\tfr\python\tfr_wrapper.cc,34,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\mlir\tfr\python\tfr_gen.py,32
mlir_wrapper,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\mlir\python\mlir_wrapper\mlir_wrapper.cc,31,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\mlir\tfr\python\tfr_gen_test.py,27
filecheck_wrapper,fw,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\mlir\python\mlir_wrapper\filecheck_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\mlir\tfr\python\tfr_gen_test.py,27
xla_extension,_xla,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,228,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla_client.py,39
tpu_client_extension,_tpu_client,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,27,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client.py,26
_pywrap_tensorflow_interpreter_wrapper,_interpreter_wrapper,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,26,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\python\interpreter.py,32
_pywrap_test_registerer,test_registerer,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\python\testdata\test_registerer_wrapper.cc,16,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\python\interpreter_test.py,36
_pywrap_toco_api,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\lite\toco_python_api_wrapper.cc,22,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\python\wrap_toco.py,23
_pywrap_string_util,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\testing\string_util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\testing\zip_test_utils.py,35
_pywrap_toco_api,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\lite\toco_python_api_wrapper.cc,22,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\toco\python\tensorflow_wrap_toco.py,23
_pywrap_toco_api,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\lite\toco_python_api_wrapper.cc,22,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\toco\python\toco_from_protos.py,26
_pywrap_modify_model_interface,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\tools\optimize\python\modify_model_interface.cc,27,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\tools\optimize\python\modify_model_interface_lib.py,23
format_converter_extension,format_converter,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\tools\optimize\sparsity\python\format_converter_extension.cc,32,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\tools\optimize\sparsity\python\format_converter_extension_test.py,25
_pywrap_signature_def_util_wrapper,signature_def_util,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\tools\signature\signature_def_util_wrapper_pybind11.cc,84,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\tools\signature\signature_def_utils.py,22
_pywrap_mlir,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\mlir_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\pywrap_mlir.py,23
_pywrap_tfe,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,451,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\pywrap_tfe.py,29
pybind_for_testing,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\autograph\impl\testing\pybind_for_testing.cc,33,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\autograph\impl\conversion_test.py,33
_pywrap_device_lib,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\device_lib_wrapper.cc,30,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\device_lib.py,22
_pywrap_events_writer,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\events_writer_wrapper.cc,26,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\events_writer_test.py,25
_pywrap_tf_session,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\tf_session_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\pywrap_tf_session.py,25
_pywrap_tf_session,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\tf_session_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\pywrap_tf_session.py,24
_pywrap_tf_session,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\tf_session_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\pywrap_tf_session.py,23
_pywrap_tf_session,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\tf_session_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\pywrap_tf_session.py,26
_pywrap_py_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\tf2tensorrt\utils\py_utils_wrapper.cc,30,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\compiler\tensorrt\trt_convert_test.py,29
_pywrap_py_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\tf2tensorrt\utils\py_utils_wrapper.cc,30,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\compiler\tensorrt\test\quantization_mnist_test.py,22
_pywrap_py_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\tf2tensorrt\utils\py_utils_wrapper.cc,30,F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\compiler\tensorrt\test\tf_trt_integration_test_base.py,35
