module_path,module_name,lineno
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\framework\python_op_gen_wrapper.cc,_pywrap_python_op_gen,24
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\framework\python_tensor_converter_wrapper.cc,_pywrap_python_tensor_converter,116
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\framework\py_context_manager_pybind.cc,_py_context_manager,49
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\framework\experimental\math_ops.cc,_math_ops,32
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\framework\experimental\nn_ops.cc,_nn_ops,32
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\framework\experimental\tape.cc,_tape,47
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\framework\experimental\unified_api.cc,_unified_api,82
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\grappler\cluster_wrapper.cc,_pywrap_tf_cluster,73
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\grappler\cost_analyzer_wrapper.cc,_pywrap_cost_analyzer,30
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\grappler\graph_analyzer_tool_wrapper.cc,_pywrap_graph_analyzer_tool,19
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\grappler\item_wrapper.cc,_pywrap_tf_item,124
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\grappler\model_analyzer_wrapper.cc,_pywrap_model_analyzer,27
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\grappler\tf_optimizer_wrapper.cc,_pywrap_tf_optimizer,60
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\lib\core\bfloat16_wrapper.cc,_pywrap_bfloat16,19
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\lib\core\py_func_wrapper.cc,_pywrap_py_func,21
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\lib\io\file_io_wrapper.cc,_pywrap_file_io,48
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\lib\io\record_io_wrapper.cc,_pywrap_record_io,202
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\lite\toco_python_api_wrapper.cc,_pywrap_toco_api,22
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\platform\enable_tf2.cc,_pywrap_tf2,19
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\platform\stacktrace_handler_wrapper.cc,_pywrap_stacktrace_handler,21
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\profiler\internal\profiler_wrapper.cc,_pywrap_profiler,52
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\profiler\internal\traceme_wrapper.cc,_pywrap_traceme,25
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\saved_model\experimental\pywrap_libexport.cc,pywrap_libexport,27
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\training\quantize_training_wrapper.cc,_pywrap_quantize_training,41
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\fast_module_type.cc,fast_module_type,262
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\function_parameter_canonicalizer_binding_for_test.cc,_function_parameter_canonicalizer_binding_for_test,37
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\kernel_registry_wrapper.cc,_pywrap_kernel_registry,21
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\nest_wrapper.cc,_pywrap_nest,22
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\port_wrapper.cc,_pywrap_util_port,20
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\py_checkpoint_reader_wrapper.cc,_pywrap_checkpoint_reader,121
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\stat_summarizer_wrapper.cc,_pywrap_stat_summarizer,27
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\tensor_float_32.cc,_pywrap_tensor_float_32_execution,19
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\tfprof_wrapper.cc,_pywrap_tfprof,24
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\tf_stack.cc,_tf_stack,252
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\transform_graph_wrapper.cc,_pywrap_transform_graph,63
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\python\util\util_wrapper.cc,_pywrap_utils,24
