c_path,module_name,py_fun_name,c_fun_name,lineno,lambda_len
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,wait_device,lambda expression,523,86.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,from_dlpack,lambda expression,527,91.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,_create_loaded_parameter,lambda expression,551,112.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,save_op_version_info,lambda expression,557,208.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,set_printoptions,lambda expression,565,657.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,broadcast_shape,lambda expression,590,142.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,_append_python_callable_object_and_return_id,lambda expression,596,89.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,_get_all_register_op_kernels,lambda expression,605,446.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,get_all_op_protos,lambda expression,1360,297.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,get_op_attrs_default_value,lambda expression,1375,133.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,get_grad_op_desc,lambda expression,1388,235.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,has_grad_op_maker,lambda expression,1404,92.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,has_non_empty_grad_op_maker,lambda expression,1407,100.0
F:\DLFs_dataset\paddle\Paddle-2.2.0\paddle\fluid\pybind\pybind.cc,core_avx,has_infer_inplace,lambda expression,1412,93.0
