LILBC,EILC,LLF,NURP,LREC,UNE,UEM,LSD,AVG
1,0,11,0,0,6,0,0,2.25
1,0,11,0,0,6,0,0,2.25
1,0,11,0,0,6,0,0,2.25
1,0,11,0,0,6,0,0,2.25
0,0,9,0,0,6,0,0,1.875
0,0,9,0,0,6,0,0,1.875
0,0,9,0,0,6,0,0,1.875
0,0,9,0,0,6,0,0,1.875
0,0,9,0,0,6,0,0,1.875
0,0,9,0,0,6,0,0,1.875
