LILBC,EILC,LLF,NURP,LREC,UNE,UEM,LSD,AVG
1,2,76,1,6,39,1,61,23.375
1,0,80,6,6,39,1,64,24.625
1,3,86,6,6,39,1,69,26.375
1,2,86,6,6,46,1,80,28.5
1,4,88,8,7,44,1,84,29.625
1,7,88,8,7,44,2,86,30.375
1,6,88,8,7,44,2,88,30.5
1,6,88,8,7,45,2,91,31.0
1,7,88,9,7,46,1,107,33.25
1,15,93,11,9,47,1,124,37.625
