LILBC,EILC,LLF,NURP,LREC,UNE,UEM,LSD,AVG
34,0,44,0,0,28,0,0,13.25
34,0,44,0,0,28,0,0,13.25
34,0,44,0,0,28,0,0,13.25
52,0,58,0,0,44,0,0,19.25
56,0,66,1,0,72,0,0,24.375
56,0,66,1,0,72,0,0,24.375
60,0,82,1,0,86,0,0,28.625
78,1,110,1,0,108,0,3,37.625
41,1,61,1,0,57,0,2,20.375
41,1,61,1,0,57,0,2,20.375
