LILBC,EILC,LLF,NURP,LREC,UNE,UEM,LSD,AVG
5,0,0,0,0,1,0,0,0.75
5,0,0,0,0,1,0,0,0.75
6,0,0,1,0,1,0,0,1.0
6,0,0,1,0,1,1,0,1.125
8,0,0,1,0,1,0,0,1.25
8,0,0,1,0,1,0,0,1.25
8,0,0,1,0,1,0,0,1.25
14,0,0,1,0,3,0,0,2.25
17,0,0,1,0,5,0,0,2.875
17,0,0,1,0,5,0,0,2.875
