module_name,methods_table,lineno,path
torch._C._fft,fft_functions,35,F:\DLFs_dataset\pytorch\pytorch-1.7.0\tools\autograd\templates\python_fft_functions.cpp
torch._C._linalg,linalg_functions,36,F:\DLFs_dataset\pytorch\pytorch-1.7.0\tools\autograd\templates\python_linalg_functions.cpp
torch._C._nn,nn_functions,80,F:\DLFs_dataset\pytorch\pytorch-1.7.0\tools\autograd\templates\python_nn_functions.cpp
torch._dl,TorchDlMethods,10,F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\dl.c
torch._C,,707,F:\DLFs_dataset\pytorch\pytorch-1.7.0\torch\csrc\Module.cpp
