call_path,number_of_communication_files
F:\DLFs_dataset\pytorch\pytorch-1.9.0\torch\overrides.py,10
F:\DLFs_dataset\pytorch\pytorch-1.9.0\test\distributed\test_data_parallel.py,5
F:\DLFs_dataset\pytorch\pytorch-1.9.0\torch\testing\_internal\distributed\rpc\examples\reinforcement_learning_rpc_test.py,5
F:\DLFs_dataset\pytorch\pytorch-1.9.0\benchmarks\operator_benchmark\benchmark_core.py,6
