c_path,lineno,module_name,c_class_name,py_class_name
F:\python_workplace\mindspore-master\mindspore\ccsrc\frontend\operator\composite\pybind_composite.cc,108,_c_expression,DictHasKey,DictHasKey_
F:\python_workplace\mindspore-master\mindspore\ccsrc\frontend\operator\composite\pybind_composite.cc,112,_c_expression,DictUpdate,DictUpdate_
F:\python_workplace\mindspore-master\mindspore\ccsrc\frontend\operator\composite\pybind_composite.cc,116,_c_expression,DictFromKeys,DictFromKeys_
F:\python_workplace\mindspore-master\mindspore\ccsrc\frontend\operator\composite\pybind_composite.cc,120,_c_expression,MapPy,Map_
F:\python_workplace\mindspore-master\mindspore\ccsrc\frontend\operator\composite\pybind_composite.cc,125,_c_expression,MultitypeFuncGraph,MultitypeFuncGraph_
F:\python_workplace\mindspore-master\mindspore\ccsrc\frontend\operator\composite\pybind_composite.cc,130,_c_expression,UnpackCall,UnpackCall_
F:\python_workplace\mindspore-master\mindspore\ccsrc\frontend\operator\composite\pybind_composite.cc,134,_c_expression,ZipOperation,ZipOperation_
F:\python_workplace\mindspore-master\mindspore\ccsrc\frontend\operator\composite\pybind_composite.cc,138,_c_expression,VmapGeneralPreprocess,VmapGeneralPreprocess_
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\pynative\pynative_execute.cc,271,_c_expression,PyNativeExecutor,PyNativeExecutor_
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\anf_py.cc,24,_c_expression,CNode,CNode
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\cell_py.cc,47,_c_expression,Cell,Cell_
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\dtype_py.cc,33,_c_expression,Type,Type
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\dtype_py.cc,54,_c_expression,Number,Number
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\dtype_py.cc,55,_c_expression,Bool,Bool
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\dtype_py.cc,64,_c_expression,Int,Int
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\func_graph_py.cc,73,_c_expression,MetaFuncGraph,MetaFuncGraph_
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\func_graph_py.cc,65,_c_expression,FuncGraph,FuncGraph
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\map_tensor_py.cc,99,_c_expression,MapTensor,MapTensor_
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\param_info_py.cc,24,_c_expression,ParamInfo,ParamInfo
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\primitive_py.cc,741,_c_expression,PrimitivePyAdapter,Primitive_
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\signature_py.cc,34,_c_expression,Signature,Signature
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\tensor_py.cc,495,_c_expression,MetaTensor,MetaTensor
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\tensor_py.cc,797,_c_expression,CSRTensor,CSRTensor
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\tensor_py.cc,818,_c_expression,COOTensor,COOTensor
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\tensor_py.cc,838,_c_expression,RowTensor,RowTensor
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\value_py.cc,25,_c_expression,UMonad,UMonad
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\value_py.cc,26,_c_expression,IOMonad,IOMonad
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\utils\ms_context_py.cc,112,_c_expression,MsContext,MSContext
F:\python_workplace\mindspore-master\mindspore\ccsrc\utils\stub_tensor.cc,290,_c_expression,StubNode,StubNode
F:\python_workplace\mindspore-master\mindspore\ccsrc\utils\stub_tensor.cc,291,_c_expression,TensorNode,TensorNode
F:\python_workplace\mindspore-master\mindspore\ccsrc\utils\stub_tensor.cc,295,_c_expression,SequenceNode,SequenceNode
F:\python_workplace\mindspore-master\mindspore\ccsrc\utils\stub_tensor.cc,297,_c_expression,AnyTypeNode,AnyTypeNode
F:\python_workplace\mindspore-master\mindspore\ccsrc\utils\stub_tensor.cc,299,_c_expression,NoneTypeNode,NoneTypeNode
F:\python_workplace\mindspore-master\mindspore\lite\python\src\context_pybind.cc,30,_c_lite_wrapper,DeviceInfoContext,DeviceInfoContextBind
F:\python_workplace\mindspore-master\mindspore\lite\python\src\context_pybind.cc,32,_c_lite_wrapper,CPUDeviceInfo,CPUDeviceInfoBind
F:\python_workplace\mindspore-master\mindspore\lite\python\src\context_pybind.cc,38,_c_lite_wrapper,GPUDeviceInfo,GPUDeviceInfoBind
F:\python_workplace\mindspore-master\mindspore\lite\python\src\context_pybind.cc,48,_c_lite_wrapper,AscendDeviceInfo,AscendDeviceInfoBind
F:\python_workplace\mindspore-master\mindspore\lite\python\src\context_pybind.cc,82,_c_lite_wrapper,Context,ContextBind
F:\python_workplace\mindspore-master\mindspore\lite\python\src\converter_pybind.cc,33,_c_lite_wrapper,Converter,ConverterBind
F:\python_workplace\mindspore-master\mindspore\lite\python\src\model_pybind.cc,56,_c_lite_wrapper,Status,Status
F:\python_workplace\mindspore-master\mindspore\lite\python\src\model_pybind.cc,62,_c_lite_wrapper,Model,ModelBind
F:\python_workplace\mindspore-master\mindspore\lite\python\src\model_pybind.cc,88,_c_lite_wrapper,RunnerConfig,RunnerConfigBind
F:\python_workplace\mindspore-master\mindspore\lite\python\src\tensor_pybind.cc,75,_c_lite_wrapper,MSTensor,TensorBind
