py_fun_name,c_fun_name,lineno,methods_table,path
_parse_to,THPVariable__parse_to,75,nn_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_nn_functions.cpp
arange,THPVariable_arange,475,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
as_tensor,THPVariable_as_tensor,477,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
dsmm,THPVariable_mm,479,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
from_numpy,THPVariable_from_numpy,480,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
full,THPVariable_full,481,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
hsmm,THPVariable_hspmm,482,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
nonzero,THPVariable_nonzero,483,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
randint,THPVariable_randint,484,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
range,THPVariable_range,485,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
saddmm,THPVariable_sspaddmm,486,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
sparse_coo_tensor,THPVariable_sparse_coo_tensor,487,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
_sparse_coo_tensor_unsafe,THPVariable__sparse_coo_tensor_unsafe,488,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
_validate_sparse_coo_tensor_args,THPVariable__validate_sparse_coo_tensor_args,489,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
spmm,THPVariable_mm,490,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
tensor,THPVariable_tensor,491,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
get_device,THPVariable_get_device,492,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
numel,THPVariable_numel,493,torch_functions,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_torch_functions.cpp
__add__,THPVariable_add,1137,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__radd__,THPVariable_add,1138,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__iadd__,THPVariable_add_,1139,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__rmul__,THPVariable_mul,1140,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__mul__,THPVariable_mul,1141,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__imul__,THPVariable_mul_,1142,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__sub__,THPVariable_sub,1143,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__isub__,THPVariable_sub_,1144,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__div__,THPVariable_div,1145,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__truediv__,THPVariable_div,1146,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__floordiv__,THPVariable_floor_divide,1147,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__idiv__,THPVariable_div_,1148,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__ifloordiv__,THPVariable_floor_divide_,1149,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__mod__,THPVariable_remainder,1150,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__imod__,THPVariable_remainder_,1151,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__eq__,THPVariable_eq,1152,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__ne__,THPVariable_ne,1153,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__lt__,THPVariable_lt,1154,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__le__,THPVariable_le,1155,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__gt__,THPVariable_gt,1156,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__ge__,THPVariable_ge,1157,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__bool__,THPVariable_bool_scalar,1158,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__float__,THPVariable_float_scalar,1159,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__complex__,THPVariable_complex_scalar,1160,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__int__,THPVariable_integral_scalar,1161,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__long__,THPVariable_integral_scalar,1162,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__index__,THPVariable_index_scalar,1163,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__nonzero__,THPVariable_bool_scalar,1164,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__invert__,THPVariable_invert,1165,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
__matmul__,THPVariable_matmul,1166,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
_is_view,THPVariable__is_view,1167,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
apply_,THPVariable_apply_,1168,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
bfloat16,THPVariable_bfloat16,1169,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
byte,THPVariable_byte,1170,variable_methods,F:\DLFs_dataset\pytorch\pytorch-1.8.0\tools\autograd\templates\python_variable_methods.cpp
